"Frequency / Hz","Am1:Measured current","Am1:Measured current"
9.9999999999999982,-94.558662511123032,-172.70405575395915
10.592098294672173,-95.551664928255335,-172.40333318522073
11.219566924716704,-96.544415080343526,-172.07807829752875
11.884953648680769,-97.537426649150731,-171.72708752729088
12.589701624071507,-98.529374500588574,-171.34973387230056
13.335111348179755,-99.518841060434212,-170.94556095600498
14.126289023873426,-100.50913963249062,-170.51200811188644
14.963339817447252,-101.49692038154623,-170.04926423805495
15.847860538827256,-102.48096338468275,-169.55680857419182
16.786973308712437,-103.4657423772194,-169.03101586075095
17.784101013693757,-104.45099225964287,-168.47045672736661
18.835938971557731,-105.43015238380974,-167.87749111965056
19.952114924181959,-106.40890634239787,-167.24730322312112
21.132713440405745,-107.38380927954198,-166.58059531352134
22.386389075442128,-108.35840481110236,-165.87330240209587
23.713540431586431,-109.32931412899775,-165.12618286880468
25.119316754584272,-110.29681251398669,-164.3375084964658
26.609898882384243,-111.26150467468258,-163.50514108383621
28.184892897406986,-112.2196961277958,-162.63087385956644
29.850746268656714,-113.17206623937081,-161.71288941362235
31.625553447185322,-114.12494756312277,-160.74334343865169
33.50083752093802,-115.06989030347651,-159.72926296447409
35.486160397444991,-116.00834225611386,-158.66817677752678
37.579857196542648,-116.93631494003193,-157.56397422375844
39.808917197452224,-117.86203815353858,-156.40595001959761
42.176296921130316,-118.78239363891228,-155.19683048640076
44.662795891022775,-119.68680472218909,-153.95068779291847
47.326076668244198,-120.59234138771934,-152.64379490062987
50.125313283208015,-121.48121784070641,-151.30191481368405
53.078556263269633,-122.35666246606662,-149.92194361155816
56.242969628796395,-123.23136096454331,-148.48441851003571
59.559261465157824,-124.08538950823541,-147.02369061859807
63.091482649842263,-124.93226494324969,-145.51919129415208
66.844919786096241,-125.76910641695525,-143.97800488056436
70.771408351026182,-126.58278969257347,-142.42819447914974
74.962518740629676,-127.38955818662541,-140.84275651489344
79.428117553613973,-128.18706489331166,-139.22948997275611
84.104289318755249,-128.96150562278675,-137.62113277545603
89.126559714794993,-129.73231457081658,-135.98229172566582
94.428706326723315,-130.48579709277493,-134.34671185247964
99.999999999999986,-131.21893471660727,-132.72708104565396
