"Frequency / Hz","Am2:Measured current","Am2:Measured current"
9.9999999999999982,5.5799699968384147,-89.461499045790219
10.592098294672173,5.0803744689302333,-89.493671430338452
11.219566924716704,4.5805323444323358,-89.524182712857638
11.884953648680769,4.0801397836115125,-89.553148713057865
12.589701624071507,3.5798124359447927,-89.580627624160883
13.335111348179755,3.080216336325265,-89.606677391158016
14.126289023873426,2.5796125831630503,-89.63147411439742
14.963339817447252,2.0796258718150522,-89.655017952295225
15.847860538827256,1.5808036726152921,-89.677367401483977
16.786973308712437,1.0807862107568762,-89.698702208805813
17.784101013693757,0.57961170197884981,-89.71908416745957
18.835938971557731,0.080518575927671893,-89.738451662897987
19.952114924181959,-0.41950215573442162,-89.756988962727291
21.132713440405745,-0.91881753912979769,-89.774696208296234
22.386389075442128,-1.4193832600524123,-89.791700269494356
23.713540431586431,-1.9196214383043966,-89.808001856321425
25.119316754584272,-2.419842029670936,-89.823665881473346
26.609898882384243,-2.920543051194544,-89.838759116020469
28.184892897406986,-3.4200001200540591,-89.853280846264084
29.850746268656714,-3.9187706772293147,-89.867298324552678
31.625553447185322,-4.4204245699303684,-89.880955420337074
33.50083752093802,-4.9207708043171934,-89.894181221221501
35.486160397444991,-5.4208338681502664,-89.907048587398464
37.579857196542648,-5.9187527406367,-89.919554520167722
39.808917197452224,-6.419254499267395,-89.931858901548111
42.176296921130316,-6.9210134429892447,-89.94396705191086
44.662795891022775,-7.418560316805447,-89.955788757582312
47.326076668244198,-7.9216501811977746,-89.967594765091619
50.125313283208015,-8.4207803368078711,-89.979200283446161
53.078556263269633,-8.9180188287629196,-89.990693454595529
56.242969628796395,-9.4210003299434355,-90.002288476554952
59.559261465157824,-9.9186204209513775,-90.013767320085279
63.091482649842263,-10.419048075195773,-90.025356579639819
66.844919786096241,-10.921000772080392,-90.037065770675895
70.771408351026182,-11.416788815169241,-90.048752545251588
74.962518740629676,-11.916515022134755,-90.060693033096399
79.428117553613973,-12.419116723636316,-90.072904994096348
84.104289318755249,-12.915994095739983,-90.085217728315399
89.126559714794993,-13.419774057458236,-90.097986485389796
94.428706326723315,-13.921712149108767,-90.111036413213057
99.999999999999986,-14.419631653083613,-90.124348198951765
