"Frequency / Hz","Am2:Measured current","Am2:Measured current"
9.9999999999999982,-65.867528481404463,-105.61306650650158
10.592098294672173,-66.406265782599945,-104.79039911348198
11.219566924716704,-66.941312550623124,-104.00627784550394
11.884953648680769,-67.473357721967474,-103.25918755144968
12.589701624071507,-68.002085223794197,-102.54888938463669
13.335111348179755,-68.527113351344425,-101.87497455829173
14.126289023873426,-69.050555133486085,-101.23382110215596
14.963339817447252,-69.570971408781432,-100.62622085483666
15.847860538827256,-70.088042492757594,-100.05133703714978
16.786973308712437,-70.60443059831087,-99.50512453900933
17.784101013693757,-71.120279614336724,-98.98651688671454
18.835938971557731,-71.632438280789216,-98.497492138856941
19.952114924181959,-72.144159797450726,-98.033740560815417
21.132713440405745,-72.653916165566187,-97.595564435059117
22.386389075442128,-73.163832174029494,-97.180089195010353
23.713540431586431,-73.672414545571527,-96.787530958608812
25.119316754584272,-74.180084688368652,-96.416504951408896
26.609898882384243,-74.687441568368186,-96.065595090721771
28.184892897406986,-75.19282448120579,-95.734933801384216
29.850746268656714,-75.696876974871486,-95.423059359796753
31.625553447185322,-76.203270973877039,-95.126914497363572
33.50083752093802,-76.707834181819479,-94.848153840256515
35.486160397444991,-77.211656803577341,-94.585269570392811
37.579857196542648,-77.71291547784223,-94.338316854295996
39.808917197452224,-78.216412024975909,-94.104198235509472
42.176296921130316,-78.720847827594213,-93.88295746949278
44.662795891022775,-79.220761937805221,-93.676193742467092
47.326076668244198,-79.725986079281256,-93.4792390364466
50.125313283208015,-80.227003848610536,-93.29524539340909
53.078556263269633,-80.725919651800467,-93.122665085076136
56.242969628796395,-81.230413839243155,-92.958412027894823
59.559261465157824,-81.729368086716647,-92.805601003648874
63.091482649842263,-82.230992101162755,-92.661151208612083
66.844919786096241,-82.734014231694886,-92.525082189087968
70.771408351026182,-83.230744209201845,-92.398921366687375
74.962518740629676,-83.731317178146554,-92.279630380450172
79.428117553613973,-84.234677803875812,-92.167232406935838
84.104289318755249,-84.732224008891336,-92.063224126565146
89.126559714794993,-85.23660835877206,-91.964640825550077
94.428706326723315,-85.739082877563845,-91.872973434517093
99.999999999999986,-86.237476603907552,-91.788206264164685
