frequency_hz,plecs_magnitude_db,analytical_magnitude_db,magnitude_error_db,plecs_phase_deg,analytical_phase_deg,phase_error_deg
9.999999999999998,5.807962380245229,5.807962436761286,-5.65160567234102e-08,-89.46150083001417,-89.44350082449002,-0.018000005524157814
10.592098294672171,5.30836685407302,5.308366917656736,-6.35837160700703e-08,-89.49367311515107,-89.4746073323642,-0.019065782786867658
11.219566924716704,4.80852473157801,4.808524803095362,-7.151735204047327e-08,-89.52418430380976,-89.50398907724664,-0.020195226563117785
11.884953648680767,4.3081321730651245,4.308132253461775,-8.039665022607778e-08,-89.55315021526738,-89.53175729217394,-0.021392923093443983
12.589701624071507,3.8078048280324306,3.807804918387836,-9.035540537993825e-08,-89.58062904268013,-89.55796757288647,-0.022661469793661126
13.335111348179757,3.308208731412968,3.3082088329058394,-1.0149287144045616e-07,-89.60667873086332,-89.58267552308438,-0.02400320777894649
14.126289023873426,2.8076049816744435,2.8076050956705383,-1.1399609478601747e-07,-89.6314753794703,-89.60604805146659,-0.025427328003715388
14.963339817447252,2.307618274196756,2.3076184022078836,-1.2801112747595766e-07,-89.65501914702482,-89.62808512706391,-0.02693401996090472
15.847860538827256,1.808796079380304,1.8087962230426058,-1.436623018324923e-07,-89.67736853003214,-89.6488423722893,-0.028526157742845726
16.786973308712437,1.3087786224500937,1.3087787837271556,-1.6127706192747837e-07,-89.69870327470262,-89.66848671351065,-0.030216561191977576
17.784101013693757,0.8076041192640406,0.807604300327885,-1.810638443622281e-07,-89.71908517408576,-89.68707378244869,-0.03201139163707012
18.835938971557727,0.3085109994608469,0.3085112026477147,-2.0318686777542894e-07,-89.73845261391362,-89.70454791340507,-0.03390470050855754
19.95211492418196,-0.1915097251413593,-0.19150949711055995,-2.280307993540731e-07,-89.75698986114817,-89.72107604333614,-0.0359138178120304
21.132713440405745,-0.6908251006152423,-0.6908248447533726,-2.558618696912873e-07,-89.77469705719578,-89.73665816126652,-0.038038895929261685
22.38638907544213,-1.191390812613906,-1.1913905254421342,-2.871717716956823e-07,-89.79170107149045,-89.75140555880958,-0.040295512680870615
23.71354043158643,-1.6916289808244722,-1.6916286585574556,-3.22267016628075e-07,-89.80800261409283,-89.76531822824018,-0.04268438585265244
25.119316754584272,-2.1918495609234685,-2.191849199296019,-3.616274493190019e-07,-89.82366659758276,-89.77845181361296,-0.04521478396979717
26.609898882384243,-2.6925505697719805,-2.6925501639291527,-4.0584282778866054e-07,-89.83875979288158,-89.7908619601987,-0.04789783268287806
28.184892897406986,-3.192007624443101,-3.192007169113911,-4.553291899078715e-07,-89.85328148609136,-89.80254866329177,-0.05073282279958846
29.850746268656717,-3.6907781656916985,-3.6907776549308635,-5.107608349597115e-07,-89.86729892963278,-89.81356756984985,-0.053731359782929644
31.62555344718532,-4.192432040449278,-4.192431467117579,-5.733316985612191e-07,-89.88095599239723,-89.82402997875622,-0.0569260136410179
33.50083752093802,-4.6927782547267,-4.692777611359907,-6.433667927296938e-07,-89.89418176216934,-89.83388023618062,-0.06030152598872007
35.48616039744499,-5.192841296004891,-5.1928405741134345,-7.218914568341006e-07,-89.9070490992118,-89.8431739909025,-0.0638751083093041
37.57985719654265,-5.6907601433024695,-5.690759333693483,-8.09608986074295e-07,-89.91955500454323,-89.85191124090308,-0.06764376364014879
39.808917197452224,-6.191261873512948,-6.191260964998183,-9.085147647525105e-07,-89.93185935995214,-89.86020328709103,-0.07165607286111708
42.17629692113032,-6.693020785236129,-6.693019765450656,-1.0197854729554479e-06,-89.9439674859501,-89.8680501281458,-0.07591735780430042
44.662795891022775,-7.190567623462647,-7.190566479892645,-1.1435700022488504e-06,-89.95578916873143,-89.87539611149869,-0.08039305723274026
47.3260766682442,-7.693657447476645,-7.693656163435865,-1.2840407803693665e-06,-89.9675951544951,-89.88240819034353,-0.08518696415157478
50.125313283208015,-8.192787558121283,-8.192786117682266,-1.4404390178412996e-06,-89.97920065261305,-89.8889750610324,-0.0902255915806478
53.07855626326963,-8.690025999842442,-8.690024384649057,-1.6151933852626144e-06,-89.99069380482085,-89.89515237426214,-0.09554143055871123
56.2429696287964,-9.193007443990776,-9.193005630481387,-1.8135093888815845e-06,-90.00228880884518,-89.90105143241725,-0.10123737642793174
59.559261465157824,-9.690627471683465,-9.690625437987157,-2.0336963082456805e-06,-90.01376763554046,-89.90656093202583,-0.10720670351463468
63.091482649842256,-10.191055054503073,-10.191052772425238,-2.2820778351473336e-06,-90.02535687929948,-89.9117921756798,-0.11356470361967297
66.84491978609624,-10.69300767096863,-10.6930051092985,-2.561670129352933e-06,-90.03706605565952,-89.91674516304987,-0.12032089260965506
70.77140835102618,-11.18879562497664,-11.188792753512345,-2.871464294784687e-06,-90.0487528164049,-89.92136424228221,-0.12738857412269056
74.96251874062966,-11.688521731245933,-11.688518509612734,-3.221633198435825e-06,-90.0606932912875,-89.92576071623716,-0.1349325750503425
79.42811755361397,-12.191123319060198,-12.191119702160345,-3.616899853398081e-06,-90.07290524012538,-89.92993458472594,-0.14297065539943787
84.10428931875525,-12.688000565078266,-12.687996509756896,-4.055321369378362e-06,-90.08521796328752,-89.93383019598751,-0.15138776730000814
89.126559714795,-13.191780383350215,-13.19177582924768,-4.5541025350814834e-06,-90.09798670979204,-89.93755885305443,-0.16042785673761273
94.42870632672333,-13.693718314533086,-13.69371320246039,-5.112072695823144e-06,-90.11103662778936,-89.94106490421247,-0.16997172357689294
99.99999999999999,-14.191637639907334,-14.191631906813647,-5.733093686899338e-06,-90.12434840466737,-89.94434834934864,-0.18000005531872887
