frequency_hz,plecs_magnitude_db,analytical_magnitude_db,magnitude_error_db,plecs_phase_deg,analytical_phase_deg,phase_error_deg
9.999999999999998,-65.86752848140446,-65.86752882792038,3.46515918181467e-07,-105.61306650650158,-105.59504606726678,-0.01802043923480312
10.592098294672171,-66.40626578259995,-66.406266031853,2.4925304842327023e-07,-104.79039911348198,-104.77131140746936,-0.01908770601262688
11.219566924716704,-66.94131255062312,-66.94131277579726,2.251741335612678e-07,-104.00627784550394,-103.98605999302444,-0.020217852479504472
11.884953648680767,-67.47335772196747,-67.47335794446705,2.2249957964959322e-07,-103.25918755144968,-103.23777070343769,-0.02141684801199517
12.589701624071507,-68.0020852237942,-68.0020853758265,1.5203229963844933e-07,-102.54888938463668,-102.52620268311016,-0.02268670152652419
13.335111348179757,-68.52711335134443,-68.52711340131816,4.99737353720775e-08,-101.87497455829173,-101.8509453420715,-0.024029216220228022
14.126289023873426,-69.05055513348609,-69.05055519521439,6.17283006931757e-08,-101.23382110215596,-101.2083660766411,-0.025455025514858676
14.963339817447252,-69.57097140878143,-69.57097134769256,-6.108886907441047e-08,-100.62622085483666,-100.59925827790589,-0.026962576930770865
15.847860538827256,-70.0880424927576,-70.0880424236244,-6.913319339219015e-08,-100.05133703714978,-100.02278075604488,-0.028556281104897607
16.786973308712437,-70.60443059831087,-70.60443052392336,-7.438751481458894e-08,-99.50512453900932,-99.47487656654866,-0.030247972460657024
17.784101013693757,-71.12027961433672,-71.12027952510091,-8.923581162889604e-08,-98.98651688671454,-98.95447257900877,-0.0320443077057746
18.835938971557727,-71.63243828078922,-71.63243818557623,-9.52129823872383e-08,-98.49749213885694,-98.46355295364457,-0.03393918521237538
19.95211492418196,-72.14415979745073,-72.14415975371648,-4.373424644654733e-08,-98.03374056081539,-97.99779078025928,-0.03594978055610909
21.132713440405745,-72.65391616556617,-72.65391616325961,-2.3065638288244372e-09,-97.59556443505912,-97.55748750113557,-0.038076933923548495
22.38638907544213,-73.1638321740295,-73.16383218741863,1.3389140463004878e-08,-97.18008919501037,-97.139753504604,-0.04033569040636564
23.71354043158643,-73.67241454557151,-73.67241457481518,2.924366526713129e-08,-96.7875309586088,-96.74480404176073,-0.04272691684806773
25.119316754584272,-74.18008468836865,-74.18008481955704,1.3118838637637964e-07,-96.41650495140888,-96.37124504717873,-0.04525990423015003
26.609898882384243,-74.68744156836817,-74.68744181935408,2.5098590583638725e-07,-96.06559509072176,-96.01764912198186,-0.04794596873989576
28.184892897406986,-75.19282448120579,-75.19282473796666,2.567608703429869e-07,-95.73493380138419,-95.68414961244116,-0.05078418894302672
29.850746268656717,-75.69687697487149,-75.69687732009737,3.452258852121304e-07,-95.42305935979677,-95.36927255965017,-0.05378680014659665
31.62555344718532,-76.20327097387704,-76.20327128523822,3.1136117684127385e-07,-95.12691449736356,-95.0699288706472,-0.05698562671635443
33.50083752093802,-76.70783418181949,-76.70783444699116,2.651716641821622e-07,-94.84815384025651,-94.7877887326007,-0.06036510765581227
35.48616039744499,-77.21165680357734,-77.21165697512781,1.715504680532831e-07,-94.5852695703928,-94.52132694802886,-0.063942622363939
37.57985719654265,-77.71291547784223,-77.71291557173899,9.389675881266157e-08,-94.338316854296,-94.2706017464,-0.06771510789599233
39.808917197452224,-78.21641202497592,-78.21641202130634,-3.6695837479783222e-09,-94.10419823550947,-94.03246655911953,-0.07173167638994471
42.17629692113032,-78.72084782759421,-78.72084771929742,-1.0829678842583235e-07,-93.88295746949278,-93.80695963274155,-0.07599783675122751
44.662795891022775,-79.22076193780522,-79.22076173489931,-2.0290590896365757e-07,-93.67619374246708,-93.59571554720998,-0.08047819525710054
47.3260766682442,-79.72598607928124,-79.72598575863688,-3.206443608405607e-07,-93.4792390364466,-93.39396160216418,-0.08527743428241763
50.125313283208015,-80.22700384861052,-80.22700334855841,-5.00052109941862e-07,-93.29524539340908,-93.20492380438738,-0.0903215890216984
53.07855626326963,-80.72591965180047,-80.72591897875523,-6.73045235544123e-07,-93.12266508507612,-93.02702200961592,-0.09564307546020245
56.2429696287964,-81.23041383924316,-81.2304129789262,-8.603169590060133e-07,-92.95841202789481,-92.85706703149297,-0.10134499640183492
59.559261465157824,-81.72936808671663,-81.72936698792908,-1.0987875498358335e-06,-92.80560100364887,-92.69827982891613,-0.10732117473274627
63.091482649842256,-82.23099210116276,-82.23099076437128,-1.3367914704076611e-06,-92.66115120861208,-92.54746517754455,-0.11368603106753028
66.84491978609624,-82.73401423169489,-82.73401267045341,-1.561241475656061e-06,-92.52508218908797,-92.40463272189785,-0.12044946719011307
70.77140835102618,-83.23074420920184,-83.2307423122543,-1.896947537716187e-06,-92.39892136668736,-92.27139641820402,-0.12752494848334095
74.96251874062966,-83.73131717814654,-83.73131491224288,-2.2659036602590277e-06,-92.27963038045016,-92.1445531957383,-0.1350771847118608
79.42811755361397,-84.23467780387581,-84.23467513987345,-2.6640023662594103e-06,-92.16723240693584,-92.024108593973,-0.14312381296284116
84.10428931875525,-84.73222400889132,-84.73222087500187,-3.133889450168681e-06,-92.06322412656513,-91.91167386238627,-0.15155026417886575
89.126559714795,-85.23660835877206,-85.23660471101007,-3.6477619858032995e-06,-91.96464082555008,-91.80404088042413,-0.1605999451259521
94.42870632672333,-85.73908287756385,-85.73907860532768,-4.272236168390009e-06,-91.87297343451709,-91.7028195252403,-0.17015390927679164
99.99999999999999,-86.23747660390755,-86.23747171506142,-4.888846135031599e-06,-91.78820626416467,-91.60801312071946,-0.18019314344520865
