frequency_hz,plecs_magnitude_db,analytical_magnitude_db,magnitude_error_db,plecs_phase_deg,analytical_phase_deg,phase_error_deg
9.999999999999998,-94.55866251112305,-94.55959271072567,0.0009301996026209736,-172.70405575395915,-172.73157031817945,0.02751456422029719
10.592098294672171,-95.55166492825533,-95.55269996529981,0.001035037044474052,-172.40333318522073,-172.43237025260086,0.029037067380130566
11.219566924716704,-96.54441508034353,-96.54556528089763,0.0011502005541075278,-172.07807829752875,-172.10869903402008,0.030620736491329126
11.884953648680767,-97.53742664915072,-97.53870353592303,0.0012768867723167432,-171.72708752729088,-171.7593645966919,0.03227706940103303
12.589701624071507,-98.52937450058856,-98.53079470950917,0.0014202089206065693,-171.34973387230056,-171.38376309803664,0.03402922573607725
13.335111348179757,-99.51884106043421,-99.520412635009,0.0015715745747826304,-170.94556095600498,-170.981405289089,0.03584433308401458
14.126289023873426,-100.50913963249062,-100.51088083524677,0.0017412027561505283,-170.51200811188644,-170.54975736007526,0.037749248188816864
14.963339817447252,-101.49692038154625,-101.49885008178352,0.0019297002372695715,-170.04926423805497,-170.08902377567006,0.03975953761508322
15.847860538827256,-102.48096338468277,-102.48309805335899,0.0021346686762200306,-169.55680857419182,-169.59865931956597,0.041850745374148346
16.786973308712437,-103.4657423772194,-103.46811709407473,0.002374716855328529,-169.03101586075095,-169.0750850325213,0.04406917177033165
17.784101013693757,-104.45099225964287,-104.45363847273285,0.0026462130899744807,-168.4704567273666,-168.5168104294147,0.04635370204809419
18.835938971557727,-105.43015238380974,-105.4330985337428,0.002946149933052311,-167.87749111965056,-167.92620359470232,0.04871247505175802
19.95211492418196,-106.40890634239788,-106.41218785286364,0.0032815104657544225,-167.24730322312112,-167.29846525882732,0.051162035706198594
21.132713440405745,-107.38380927954198,-107.38746435835866,0.0036550788166778148,-166.58059531352134,-166.63425016257085,0.0536548490495079
22.38638907544213,-108.35840481110236,-108.36247576732104,0.004070956218683364,-165.87330240209587,-165.92951474350104,0.05621234140517117
23.71354043158643,-109.32931412899777,-109.33384710171494,0.004532972717171901,-165.12618286880468,-165.18500182727507,0.058818958470396865
25.119316754584272,-110.29681251398668,-110.30186187714833,0.00504936316164617,-164.3375084964658,-164.39894711309427,0.061438616628464615
26.609898882384243,-111.26150467468258,-111.26712842885607,0.005623754173484485,-163.5051410838362,-163.56920986754392,0.06406878370771096
28.184892897406986,-112.2196961277958,-112.22595139431687,0.006255266521066005,-162.63087385956644,-162.6975183219716,0.06664446240515076
29.850746268656717,-113.1720662393708,-113.17901572365976,0.00694948428895259,-161.71288941362235,-161.78202489176118,0.0691354781388327
31.62555344718532,-114.12494756312276,-114.1326695631323,0.0077220000095366,-160.7433434386517,-160.81486135428472,0.07151791563302368
33.50083752093802,-115.06989030347653,-115.0784471548404,0.008556851363877627,-159.7292629644741,-159.80302398565007,0.07376102117598293
35.48616039744499,-116.00834225611386,-116.0178046385416,0.009462382427742,-158.66817677752678,-158.74398750390304,0.07581072637626107
37.57985719654265,-116.93631494003192,-116.94675764950517,0.010442709473252876,-157.56397422375844,-157.6415876612978,0.07761343753935535
39.808917197452224,-117.86203815353858,-117.87355465768441,0.011516504145831163,-156.4059500195976,-156.4850977324654,0.07914771286777977
42.17629692113032,-118.78239363891228,-118.79506872159077,0.012675082678484273,-155.19683048640076,-155.27712295229304,0.08029246589228478
44.662795891022775,-119.68680472218908,-119.7007165452908,0.01391182310172212,-153.95068779291847,-154.0316898036665,0.08100201074802271
47.3260766682442,-120.59234138771934,-120.60759153068145,0.015250142962102586,-152.64379490062987,-152.72500146338126,0.08120656275139027
50.125313283208015,-121.4812178407064,-121.49788751235323,0.016669671646823758,-151.30191481368405,-151.3827286678026,0.0808138541185599
53.07855626326963,-122.35666246606662,-122.37482852371986,0.018166057653232315,-149.92194361155816,-150.0017453216642,0.07980171010603954
56.2429696287964,-123.23136096454331,-123.2511297777622,0.01976881321888868,-148.4844185100357,-148.56245364372924,0.07803513369353254
59.559261465157824,-124.0853895082354,-124.10682319379285,0.021433685557454396,-147.02369061859807,-147.0991418132787,0.07545119468062467
63.091482649842256,-124.93226494324968,-124.95545688237378,0.023191939124103556,-145.51919129415208,-145.59113977583357,0.07194848168148837
66.84491978609624,-125.76910641695524,-125.794149844627,0.025043427671761265,-143.97800488056436,-144.0453781983333,0.06737331776895417
70.77140835102618,-126.58278969257348,-126.60973372587983,0.02694403330634998,-142.42819447914974,-142.48991142991,0.06171695076025685
74.96251874062966,-127.3895581866254,-127.41847815338528,0.028919966759886506,-140.84275651489344,-140.8975808811125,0.05482436621906572
79.42811755361397,-128.18706489331166,-128.21801875852975,0.030953865218094734,-139.2294899727561,-139.27603581746862,0.04654584471251155
84.10428931875525,-128.96150562278677,-128.99450425236626,0.032998629579481076,-137.62113277545603,-137.65819222166044,0.037059446204409596
89.126559714795,-129.73231457081658,-129.7674112873294,0.0350967165128111,-135.98229172566582,-136.00820522546869,0.0259134998028685
94.42870632672333,-130.48579709277493,-130.52299372457594,0.037196631801009516,-134.34671185247964,-134.36004496916937,0.013333116689722146
99.99999999999999,-131.2189347166073,-131.2582101139901,0.03927539738279506,-132.72708104565396,-132.72639681509418,-0.0006842305597842824
